4.716069239123157897e-01,5.494987680971078481e-01,4.400000000000000577e-01,1.000000000000000000e+00,1.759212179424430034e-01,8.840275210375226900e-01,7.981183528900146484e-01,0.000000000000000000e+00
4.712883703572455230e-01,5.632008304612889926e-01,4.400000000000000577e-01,1.000000000000000000e+00,2.249865672550797058e-01,8.693437210008418958e-01,7.724602222442626953e-01,5.000000000000000833e-07
4.701958559887298716e-01,5.736963434975497211e-01,4.400000000000000577e-01,1.000000000000000000e+00,2.627505857315203808e-01,6.624439658399400299e-01,7.104170322418212891e-01,5.000000000000000833e-07
4.754142088965579438e-01,5.544322593825365963e-01,4.400000000000000577e-01,1.000000000000000000e+00,1.935599589185345581e-01,5.228859279408800687e-01,6.631934046745300293e-01,1.000000000000000167e-06
4.835289761631093586e-01,5.518260549117283142e-01,4.400000000000000577e-01,1.000000000000000000e+00,1.842384029540557189e-01,4.502115436106420843e-01,6.478658318519592285e-01,1.000000000000000167e-06
4.987306625107370550e-01,5.705881529204116509e-01,4.400000000000000577e-01,1.000000000000000000e+00,2.515486468083972804e-01,4.393585307638072646e-01,6.501756906509399414e-01,1.500000000000000038e-06
5.208028784522674703e-01,5.863745651608157639e-01,4.400000000000000577e-01,1.000000000000000000e+00,3.086220868568920195e-01,4.276914290209722358e-01,6.430732011795043945e-01,2.000000000000000333e-06
5.445055556424012178e-01,5.956277539151414446e-01,4.400000000000000577e-01,1.000000000000000000e+00,3.423047865002024626e-01,4.324301123286092841e-01,6.419981718063354492e-01,1.500000000000000250e-06
5.579926196488737000e-01,6.031791062901862288e-01,4.400000000000000577e-01,1.000000000000000000e+00,3.699363619454774654e-01,4.186283974341173941e-01,6.420325040817260742e-01,2.500000000000000205e-06
5.705438419485049373e-01,6.286305117536816756e-01,4.400000000000000577e-01,1.000000000000000000e+00,4.641850541948364661e-01,4.051916148076510349e-01,6.377511024475097656e-01,1.875000000000000259e-06
5.795034615088580088e-01,6.408816069975074026e-01,4.400000000000000577e-01,1.000000000000000000e+00,5.102712876936031927e-01,4.092791263617616693e-01,6.380552053451538086e-01,3.000000000000000076e-06
5.937124100100590329e-01,6.581613681661768744e-01,4.400000000000000577e-01,1.000000000000000000e+00,5.762217907453363042e-01,4.019095399859231033e-01,6.405215859413146973e-01,3.499999999999999947e-06
5.957040093218246568e-01,6.762063024817868140e-01,4.400000000000000577e-01,1.000000000000000000e+00,6.464601889116226019e-01,3.760966588664987342e-01,6.349011659622192383e-01,3.499999999999999947e-06
5.841881719484967039e-01,6.649795186583025153e-01,4.400000000000000577e-01,1.000000000000000000e+00,6.025847876167987893e-01,3.989920604495362788e-01,6.387376785278320312e-01,4.000000000000000666e-06
5.894268610525645880e-01,6.788090439369135476e-01,4.400000000000000577e-01,1.000000000000000000e+00,6.567198677556395081e-01,3.624924346388385121e-01,6.468293666839599609e-01,4.000000000000000666e-06
5.902039304628645677e-01,6.651447257588039008e-01,4.400000000000000577e-01,1.000000000000000000e+00,6.032261442819831787e-01,3.349493693706043773e-01,6.392278671264648438e-01,4.500000000000000114e-06
5.835226395146081435e-01,6.696932206018194611e-01,4.400000000000000577e-01,1.000000000000000000e+00,6.209333952999940287e-01,3.592768454684891477e-01,6.432488560676574707e-01,5.000000000000000409e-06
5.720125388955441537e-01,6.620749086001553874e-01,4.400000000000000577e-01,1.000000000000000000e+00,5.913287710477529435e-01,3.261037610429625144e-01,6.362597346305847168e-01,3.750000000000000519e-06
5.748305004887193093e-01,6.476827344400079012e-01,4.400000000000000577e-01,1.000000000000000000e+00,5.360885102329034924e-01,3.299396777286209836e-01,6.333540678024291992e-01,5.500000000000000704e-06
5.801818999568707502e-01,6.576624837141766822e-01,4.400000000000000577e-01,1.000000000000000000e+00,5.743007582452362980e-01,2.981810619711209864e-01,6.303794384002685547e-01,4.125000000000000316e-06
